,index,sp,motif_id,nreal_stats,nrand,zscore,nreal_pval,creal,uniq,additional_column
0,3.6_d1break,-0.26302118370250777,6,24,113.1+-12.5,-7.15,1.0,17.37,3,
1,3.6_d1break,-0.3299720304631461,12,11,230.3+-24.5,-8.97,1.0,7.76,2,
2,3.6_d1break,-0.15008761251835406,14,217,280.1+-15.5,-4.08,1.0,160.37,6,
3,3.6_d1break,-0.14125892942903912,36,41,86.5+-11.9,-3.84,1.0,30.3,1,
4,3.6_d1break,-0.15928415740305715,38,8,95.2+-20.1,-4.33,1.0,6.16,2,
5,3.6_d1break,0.0018393089769406137,46,80,79.3+-8.6,0.05,0.44,58.94,3,
6,3.6_d1break,-0.37595475488666147,74,55,200.1+-14.2,-10.22,1.0,40.65,5,
7,3.6_d1break,0.4727024070737377,78,515,186.6+-25.6,12.85,0.0,380.61,7,
8,3.6_d1break,-0.16369849894771463,98,0,42.3+-9.5,-4.45,1.0,0.0,0,
9,3.6_d1break,-0.3395364371432373,102,9,159.3+-16.3,-9.23,1.0,6.65,2,
10,3.6_d1break,-0.26302118370250777,108,4,55.8+-7.2,-7.15,1.0,2.96,2,
11,3.6_d1break,-0.4219374793101768,110,106,272.9+-14.6,-11.47,1.0,78.34,4,
0,3.6_d1intro,-0.30960616035535954,6,8,98.8+-12.9,-7.09,1.0,10.68,2,
1,3.6_d1intro,-0.3912653309991568,12,1,224.0+-24.9,-8.96,1.0,1.42,1,
2,3.6_d1intro,-0.28384203699715616,14,82,159.6+-11.9,-6.5,1.0,116.75,4,
3,3.6_d1intro,0.26244471420813975,36,163,90.7+-11.9,6.01,0.0,231.37,2,
4,3.6_d1intro,-0.14104765838474065,38,14,51.6+-11.5,-3.23,1.0,20.41,1,
5,3.6_d1intro,0.20305622646719632,46,47,25.8+-4.6,4.65,0.0,66.92,3,
6,3.6_d1intro,-0.36069772701484765,74,55,145.6+-11.0,-8.26,1.0,78.31,4,
7,3.6_d1intro,0.3978155318529373,78,233,81.3+-16.7,9.11,0.0,331.75,5,
8,3.6_d1intro,-0.18034886350742382,98,0,25.4+-6.2,-4.13,1.0,0.0,0,
9,3.6_d1intro,-0.3043659996723351,102,1,61.2+-8.6,-6.97,1.0,1.42,1,
10,3.6_d1intro,-0.19694270567033448,108,3,23.9+-4.6,-4.51,1.0,4.27,1,
11,3.6_d1intro,-0.29694243870471715,110,20,67.7+-7.0,-6.8,1.0,28.48,3,
0,3.6_d1lec1,-0.2726664399715534,6,5,47.4+-9.7,-4.38,1.0,20.3,1,
1,3.6_d1lec1,-0.39094640251629115,12,8,129.3+-19.3,-6.28,1.0,32.48,2,
2,3.6_d1lec1,-0.16932710427457195,14,50,65.6+-5.8,-2.72,1.0,201.62,3,
3,3.6_d1lec1,-0.1805325744103892,36,21,50.9+-10.3,-2.9,1.0,85.25,1,
4,3.6_d1lec1,-0.13135301103652455,38,2,14.2+-5.9,-2.11,1.0,6.77,1,
5,3.6_d1lec1,0.10458438793429443,46,7,4.4+-1.6,1.68,0.06,28.42,2,
6,3.6_d1lec1,-0.3946815592282302,74,35,71.2+-5.7,-6.34,1.0,142.08,2,
7,3.6_d1lec1,0.5970025477915974,78,108,25.3+-8.6,9.59,0.0,438.43,4,
8,3.6_d1lec1,-0.15749910802009817,98,0,10.0+-4.0,-2.53,1.0,0.0,0,
9,3.6_d1lec1,-0.31997842498944845,102,0,16.1+-3.1,-5.14,1.0,0.0,0,
10,3.6_d1lec1,-0.1543864774268156,108,0,5.2+-2.1,-2.48,1.0,0.0,0,
11,3.6_d1lec1,-0.1419359550536853,110,4,11.2+-3.2,-2.28,0.99,16.24,3,
0,3.6_d1lec2,-0.2592175225614755,6,16,72.7+-10.3,-5.51,1.0,22.71,2,
1,3.6_d1lec2,-0.3801229731935975,12,14,173.6+-19.8,-8.08,1.0,19.16,3,
2,3.6_d1lec2,-0.21264304936077483,14,115,167.2+-11.5,-4.52,1.0,163.24,5,
3,3.6_d1lec2,-0.248397190403737,36,17,69.2+-9.9,-5.28,1.0,24.13,2,
4,3.6_d1lec2,-0.16230498236607815,38,6,39.0+-9.6,-3.45,1.0,8.52,2,
5,3.6_d1lec2,-0.07291962975867279,46,19,27.2+-5.3,-1.55,0.96,26.97,3,
6,3.6_d1lec2,-0.4361064308792882,74,68,160.7+-10.0,-9.27,1.0,96.52,4,
7,3.6_d1lec2,0.4836218025284879,78,290,103.4+-18.1,10.28,0.0,411.64,5,
8,3.6_d1lec2,-0.17077306840256917,98,0,20.6+-5.7,-3.63,1.0,0.0,0,
9,3.6_d1lec2,-0.34719152749613236,102,7,71.2+-8.7,-7.38,1.0,9.94,2,
10,3.6_d1lec2,-0.2060567602212818,108,3,26.2+-5.3,-4.38,1.0,4.26,3,
11,3.6_d1lec2,-0.18300474823305624,110,72,103.1+-8.0,-3.89,1.0,102.2,4,
